A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
0.001238,-0.002641,-1.02E-4,5.781E-5,-2.184E-4,1.714E-4,-1.103E-4,-1.164E-4,0.01783,-0.02867,-5.684E-4,-8.947E-5,9.228E-5,3.842E-5,-3.521E-4,3.191E-5,junk,junk,junk,junk,junk
0.001404,-0.002849,-1.269E-4,6.196E-5,-2.223E-4,1.685E-4,-1.459E-4,-1.172E-4,0.01921,-0.03081,-6.424E-4,-8.099E-5,6.795E-5,3.645E-5,-4.471E-4,4.573E-5,junk,junk,junk,junk,junk
0.001291,-0.002928,-1.586E-4,6.875E-5,-2.367E-4,1.679E-4,-1.77E-4,-1.075E-4,0.02021,-0.03274,-6.771E-4,-8.867E-5,1.425E-5,4.41E-5,-5.062E-4,4.496E-5,junk,junk,junk,junk,junk
8.234E-4,-0.002865,-1.811E-4,7.479E-5,-2.728E-4,1.786E-4,-2.071E-4,-1.056E-4,0.02111,-0.03425,-7.593E-4,-8.279E-5,-3.45E-5,3.873E-5,-5.835E-4,4.41E-5,junk,junk,junk,junk,junk
4.351E-4,-0.002725,-2.106E-4,7.515E-5,-3.13E-4,1.814E-4,-2.286E-4,-1.119E-4,0.02165,-0.03544,-8.405E-4,-8.318E-5,-7.094E-5,3.225E-5,-6.663E-4,4.858E-5,junk,junk,junk,junk,junk
1.588E-4,-0.002859,-2.468E-4,7.829E-5,-3.386E-4,1.823E-4,-2.847E-4,-1.082E-4,0.02205,-0.03674,-9.04E-4,-8.709E-5,-1.268E-4,3.654E-5,-7.727E-4,6.535E-5,junk,junk,junk,junk,junk
2.642E-4,-0.002881,-2.924E-4,8.785E-5,-3.929E-4,1.998E-4,-3.376E-4,-1.008E-4,0.02272,-0.03814,-9.936E-4,-7.908E-5,-1.876E-4,4.217E-5,-8.721E-4,7.416E-5,junk,junk,junk,junk,junk
5.72E-4,-0.002857,-3.112E-4,9.563E-5,-4.08E-4,1.996E-4,-3.693E-4,-9.542E-5,0.02341,-0.03922,-0.001061,-6.895E-5,-2.399E-4,5.178E-5,-9.421E-4,8.709E-5,junk,junk,junk,junk,junk
5.508E-4,-0.002973,-2.895E-4,9.53E-5,-4.189E-4,2.087E-4,-3.77E-4,-9.799E-5,0.02401,-0.04026,-0.001112,-6.141E-5,-2.456E-4,4.996E-5,-9.693E-4,9.738E-5,junk,junk,junk,junk,junk
3.799E-4,-0.002875,-2.59E-4,9.734E-5,-4.124E-4,2.192E-4,-3.752E-4,-9.853E-5,0.02458,-0.04105,-0.001112,-4.83E-5,-2.591E-4,4.802E-5,-9.863E-4,1.063E-4,junk,junk,junk,junk,junk
