A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.01904,0.006154,0.003527,0.001153,0.003826,0.001369,0.00364,0.001265,0.05269,0.02094,0.01112,0.003755,0.01076,0.003085,0.01136,0.00385,one,one,junk
0.0171,0.0059,0.003681,0.001147,0.003534,0.00131,0.003799,0.001249,0.05185,0.02071,0.01132,0.003776,0.01093,0.003095,0.0117,0.003949,one,one,junk
0.01961,0.00609,0.003722,0.00125,0.003927,0.001362,0.00391,0.001375,0.05069,0.0208,0.01059,0.003595,0.01018,0.003018,0.01098,0.003775,one,one,junk
0.01926,0.006222,0.003783,0.001152,0.003819,0.001423,0.003836,0.001276,0.04887,0.02049,0.009893,0.003403,0.009388,0.002778,0.01006,0.003551,one,one,junk
0.01771,0.005736,0.003708,0.001199,0.003612,0.00128,0.003888,0.001313,0.04878,0.0206,0.009976,0.003411,0.009609,0.002884,0.0105,0.003639,one,one,junk
0.0198,0.00635,0.003669,0.001201,0.003956,0.001439,0.003792,0.001342,0.04949,0.02062,0.009952,0.003373,0.009568,0.002837,0.01019,0.003564,one,one,junk
0.01791,0.005826,0.003783,0.00111,0.003532,0.001297,0.003827,0.001226,0.04841,0.02044,0.00988,0.00332,0.009151,0.002696,0.01005,0.003547,one,one,junk
0.01505,0.005254,0.002939,9.669E-4,0.003125,0.001063,0.003103,0.00109,0.04894,0.02072,0.009568,0.003233,0.009218,0.002787,0.01005,0.003493,one,one,junk
0.01456,0.005446,0.002924,8.57E-4,0.002949,0.001118,0.002958,9.754E-4,0.04865,0.02064,0.009154,0.003167,0.008644,0.002603,0.009316,0.003379,one,one,junk
0.01323,0.005014,0.002902,9.243E-4,0.002733,9.964E-4,0.003019,0.001038,0.04817,0.02061,0.009334,0.00313,0.008757,0.002616,0.00977,0.003388,one,one,junk
0.01619,0.005658,0.002995,9.667E-4,0.003301,0.00118,0.003104,0.001105,0.05008,0.02067,0.009643,0.003198,0.009206,0.00273,0.00996,0.003454,one,one,junk
0.01649,0.005867,0.003546,0.001048,0.003269,0.001254,0.003571,0.001185,0.04928,0.02038,0.00994,0.003203,0.008827,0.002532,0.009846,0.003472,one,one,junk
0.01723,0.005668,0.00334,0.001099,0.003479,0.0012,0.003486,0.001224,0.04944,0.02051,0.00996,0.003211,0.009201,0.002701,0.01022,0.003512,one,one,junk
0.01794,0.006046,0.003478,0.001061,0.00351,0.001343,0.003528,0.001195,0.04894,0.02035,0.009689,0.003169,0.008815,0.002549,0.009643,0.003451,one,one,junk
0.01663,0.005535,0.003533,0.001094,0.003294,0.001194,0.003587,0.001229,0.04762,0.02021,0.009717,0.00309,0.008514,0.002509,0.009705,0.003413,one,one,junk
0.01798,0.005815,0.003316,0.001048,0.003531,0.001277,0.003367,0.001196,0.04784,0.02024,0.009483,0.003056,0.008566,0.002539,0.009496,0.00336,one,one,junk
0.01668,0.005647,0.003552,0.001031,0.003253,0.001249,0.003546,0.001159,0.04643,0.01999,0.009305,0.002999,0.008103,0.002386,0.009183,0.003327,one,one,junk
0.01707,0.005513,0.003324,0.001088,0.003369,0.001203,0.003415,0.001236,0.04668,0.02014,0.009361,0.003032,0.00835,0.00251,0.009506,0.003338,one,one,junk
0.01752,0.005859,0.003413,0.001003,0.003383,0.001306,0.003388,0.001154,0.04604,0.02,0.009006,0.002947,0.007902,0.002358,0.008874,0.003256,one,one,junk
0.01568,0.005344,0.003372,0.001056,0.003154,0.00116,0.003454,0.001193,0.04569,0.02006,0.009181,0.003013,0.008224,0.00247,0.009365,0.003335,one,one,junk
0.01821,0.005801,0.003345,0.001061,0.003531,0.001298,0.003388,0.001227,0.04601,0.02012,0.009037,0.002951,0.008056,0.00244,0.00906,0.003267,one,one,junk
0.0164,0.005605,0.00348,0.001032,0.003278,0.001242,0.003499,0.001153,0.04551,0.01999,0.00896,0.002981,0.008169,0.002409,0.009075,0.003296,one,one,junk
0.01715,0.00559,0.003392,0.001097,0.003379,0.001215,0.003474,0.001246,0.04576,0.02018,0.009089,0.002983,0.00806,0.002479,0.009234,0.003287,one,one,junk
0.01739,0.005807,0.003359,0.001008,0.003428,0.001291,0.003385,0.00114,0.04536,0.02006,0.008776,0.002913,0.007997,0.002412,0.008882,0.003218,one,one,junk
0.01616,0.005523,0.003481,0.001089,0.003223,0.001201,0.003574,0.00122,0.04531,0.02017,0.009012,0.00301,0.008069,0.002472,0.009193,0.003336,one,one,junk
0.01762,0.005631,0.003266,0.001034,0.003465,0.001245,0.003332,0.001178,0.04529,0.02018,0.00889,0.002924,0.008026,0.002451,0.008982,0.003241,one,one,junk
0.01579,0.005589,0.003397,0.001025,0.003231,0.001245,0.003469,0.001147,0.04585,0.02022,0.009007,0.003071,0.008479,0.002528,0.009329,0.003371,one,one,junk
0.01686,0.00546,0.00334,0.001092,0.003334,0.001189,0.003449,0.001228,0.04517,0.02025,0.009075,0.003,0.007955,0.002476,0.00916,0.003299,one,one,junk
0.01619,0.005573,0.003166,9.662E-4,0.003361,0.001237,0.00324,0.001097,0.04588,0.02032,0.008787,0.00303,0.008627,0.002614,0.009318,0.003326,one,one,junk
0.01614,0.005573,0.003486,0.001115,0.003251,0.001216,0.003612,0.001233,0.04592,0.0204,0.009239,0.003119,0.00829,0.002574,0.009425,0.003414,one,one,junk
0.02047,0.005822,0.003753,0.001112,0.004011,0.001307,0.003785,0.00123,0.05076,0.02082,0.01157,0.003486,0.01066,0.002925,0.01172,0.003848,one,one,junk
-0.006224,0.001014,-6.329E-4,-3.747E-4,-7.514E-4,-2.624E-4,-6.184E-4,-3.508E-4,0.05268,0.02082,0.01284,0.003802,0.0116,0.003034,0.01277,0.004141,one,one,junk
0.002517,0.003159,7.48E-4,3.596E-4,8.005E-4,4.003E-4,9.234E-4,4.639E-4,0.05602,0.02088,0.01582,0.00419,0.01328,0.00324,0.01504,0.004614,one,one,junk
0.01073,0.004742,0.002168,6.505E-4,0.002347,8.935E-4,0.002231,7.553E-4,0.0575,0.02096,0.0164,0.00441,0.01437,0.003444,0.01574,0.00485,one,one,junk
0.006145,0.003305,0.001667,4.12E-4,0.001353,4.567E-4,0.001712,4.583E-4,0.05547,0.0208,0.01553,0.004261,0.01297,0.003237,0.01461,0.004698,one,one,junk
-0.00838,3.455E-4,-0.001462,-5.533E-4,-0.001236,-4.672E-4,-0.001415,-5.207E-4,0.05064,0.02056,0.01214,0.003597,0.01029,0.002912,0.01162,0.004041,one,one,junk
0.01075,0.005555,0.002453,9.337E-4,0.002242,0.0012,0.002598,0.001119,0.04746,0.02016,0.0104,0.003212,0.008379,0.002491,0.009786,0.003637,one,one,junk
0.02788,0.007581,0.005365,0.001813,0.005192,0.002003,0.005433,0.002048,0.04815,0.02041,0.01105,0.003337,0.009504,0.002737,0.01095,0.003738,one,one,junk
