A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
-0.00249,-0.002562,0.001852,-0.00169,0.002184,-0.0011,0.001658,-4.185E-4,0.002885,0.001886,2.609E-4,3.924E-4,-7.017E-5,2.711E-4,1.466E-4,3.288E-4,two,one,junk
-0.002819,-0.002645,0.001389,-0.001735,0.001263,-0.001137,7.286E-4,-5.115E-4,0.002616,0.001833,2.692E-4,3.869E-4,-4.299E-5,2.311E-4,1.194E-4,3.054E-4,two,one,junk
-0.003258,-0.002676,0.001787,-0.001818,0.002108,-0.001271,0.001352,-4.928E-4,0.002581,0.0018,3.226E-4,3.497E-4,4.249E-5,1.97E-4,1.96E-4,2.653E-4,two,one,junk
-0.004219,-0.002733,0.001445,-0.001867,0.001536,-0.001301,9.798E-4,-5.576E-4,0.002359,0.001678,2.019E-4,3.048E-4,-1.211E-4,1.768E-4,1.368E-5,2.421E-4,two,one,junk
-0.004277,-0.002755,0.00147,-0.001881,0.00165,-0.001343,8.6E-4,-5.408E-4,0.001933,0.001703,3.618E-4,2.515E-4,7.693E-6,1.562E-4,1.99E-4,2.033E-4,two,one,junk
-0.004665,-0.002743,0.001428,-0.001884,0.001493,-0.001306,9.25E-4,-5.59E-4,9.203E-4,0.001777,3.933E-4,2.071E-4,7.197E-5,1.014E-4,2.154E-4,1.683E-4,two,one,junk
-0.005456,-0.002835,9.689E-4,-0.001895,7.447E-4,-0.001358,2.769E-5,-5.835E-4,7.441E-4,0.001691,2.822E-4,1.903E-4,-4.585E-5,9.043E-5,5.603E-5,1.327E-4,two,one,junk
-0.005139,-0.002851,0.001237,-0.001912,0.001144,-0.001336,4.884E-4,-5.944E-4,0.0011,0.001698,4.6E-4,1.516E-4,1.63E-4,9.295E-5,2.128E-4,1.257E-4,two,one,junk
-0.006056,-0.002822,7.039E-4,-0.001865,4.429E-4,-0.001383,-2.813E-4,-5.74E-4,0.001336,0.001669,6.694E-4,4.895E-5,3.262E-4,2.612E-5,3.452E-4,5.013E-5,two,one,junk
-0.005685,-0.002843,9.925E-4,-0.001908,6.166E-4,-0.001338,2.807E-5,-5.998E-4,5.943E-4,-3.391E-4,0.001627,-0.001761,-9.318E-4,-0.001668,-0.001189,-0.001424,two,one,junk
-0.006086,-0.002841,6.77E-4,-0.001877,3.859E-4,-0.001359,-2.784E-4,-6.163E-4,-1.705E-5,-5.152E-4,0.001766,-0.002455,-0.001594,-0.002252,-0.001666,-0.001823,two,one,junk
-0.005919,-0.002869,8.564E-4,-0.001919,3.286E-4,-0.00135,-2.247E-4,-6.502E-4,-3.282E-4,-5.188E-4,0.001727,-0.00255,-0.001659,-0.002352,-0.001695,-0.001921,two,one,junk
-0.005768,-0.002972,7.375E-4,-0.001872,6.759E-4,-0.001376,-3.909E-5,-6.444E-4,-1.854E-4,-6.345E-4,0.001694,-0.002613,-0.001829,-0.002391,-0.001945,-0.001989,two,one,junk
-0.006506,-0.002929,4.257E-4,-0.001943,-1.907E-4,-0.001379,-7.605E-4,-6.721E-4,-1.899E-4,-7.347E-4,0.001944,-0.002698,-0.001613,-0.002495,-0.001715,-0.002108,two,one,junk
-0.003731,-0.002412,-2.454E-4,-0.001708,-5.174E-4,-0.001266,-7.487E-4,-7.904E-4,0.001576,0.002622,3.695E-5,8.61E-4,-2.113E-4,6.029E-4,-1.919E-4,7.434E-4,two,one,junk
-0.006715,-0.003239,-4.835E-4,-0.002087,-0.001128,-0.001562,-0.001382,-9.237E-4,7.584E-4,0.002121,-1.665E-4,7.396E-4,-1.805E-4,5.026E-4,-1.531E-4,5.757E-4,two,one,junk
-0.005405,-0.003192,2.822E-4,-0.002101,-1.728E-4,-0.001553,-6.843E-4,-8.897E-4,7.808E-4,0.00202,-2.394E-4,7.15E-4,-2.328E-4,4.8E-4,-2.173E-4,5.625E-4,two,one,junk
-0.005553,-0.00318,1.229E-4,-0.002048,-2.337E-4,-0.001526,-6.823E-4,-8.415E-4,-2.329E-4,0.002152,-3.79E-4,7.334E-4,-3.875E-4,4.986E-4,-4.181E-4,5.819E-4,two,one,junk
-0.00582,-0.003072,4.06E-5,-0.002111,-7.806E-4,-0.001518,-0.001189,-8.365E-4,-9.072E-4,0.002288,-2.484E-4,6.911E-4,-2.719E-4,4.43E-4,-2.743E-4,5.697E-4,two,one,junk
-0.004965,-0.003145,3.303E-4,-0.002053,5.051E-7,-0.001524,-5.324E-4,-8.581E-4,-7.26E-4,0.002266,-3.617E-4,6.907E-4,-3.653E-4,4.586E-4,-4.056E-4,5.607E-4,two,one,junk
-0.005891,-0.003142,7.351E-5,-0.002074,-5.864E-4,-0.001527,-0.001019,-7.938E-4,-3.834E-4,0.002254,-2.467E-4,6.653E-4,-3.337E-4,4.376E-4,-3.409E-4,5.441E-4,two,one,junk
-0.005476,-0.003161,5.653E-5,-0.00207,-6.553E-4,-0.001523,-0.001161,-8.288E-4,-1.481E-4,0.002164,-2.179E-4,6.686E-4,-2.991E-4,4.225E-4,-2.786E-4,5.33E-4,two,one,junk
