A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.01811,-3.999E-4,0.003697,8.071E-4,0.003353,9.506E-4,0.00343,7.546E-4,0.005004,7.826E-4,0.00191,3.359E-4,0.002426,1.447E-4,0.001582,1.901E-4,junk,junk,junk
0.0172,-5.285E-4,0.003447,8.422E-4,0.002968,8.642E-4,0.003268,7.885E-4,0.003362,8.145E-4,0.001227,2.602E-4,0.001692,1.09E-4,0.001001,1.654E-4,junk,junk,junk
0.01866,-4.747E-4,0.003665,8.249E-4,0.003502,9.524E-4,0.00346,7.628E-4,0.005365,7.947E-4,0.002088,2.735E-4,0.002566,1.373E-4,0.001677,1.886E-4,junk,junk,junk
0.01777,-4.842E-4,0.003624,8.15E-4,0.003054,9.204E-4,0.0034,7.815E-4,0.003484,7.237E-4,0.001023,2.548E-4,0.001567,1.144E-4,7.803E-4,1.834E-4,junk,junk,junk
0.01839,-5.786E-4,0.00379,8.327E-4,0.003601,8.474E-4,0.003506,7.518E-4,0.00594,7.528E-4,0.002474,2.679E-4,0.002912,8.205E-5,0.002052,1.454E-4,junk,junk,junk
0.01634,-5.077E-4,0.003268,6.858E-4,0.00311,7.689E-4,0.003065,5.953E-4,0.004572,9.298E-4,0.001773,2.667E-4,0.002405,1.019E-4,0.001507,1.792E-4,junk,junk,junk
0.01524,-5.6E-4,0.003173,7.331E-4,0.002842,6.828E-4,0.003051,6.058E-4,0.004172,8.873E-4,0.001874,2.139E-4,0.002454,2.597E-5,0.001641,1.09E-4,junk,junk,junk
0.01526,-5.036E-4,0.003046,6.208E-4,0.003182,6.359E-4,0.002927,4.666E-4,0.006427,8.629E-4,0.00255,2.217E-4,0.003167,9.19E-5,0.002347,1.237E-4,junk,junk,junk
0.008455,-4.839E-4,0.00138,2.914E-4,0.001806,1.715E-4,0.001429,3.732E-5,0.005116,6.704E-4,0.00222,7.174E-5,0.002633,-6.917E-5,0.001696,1.038E-4,junk,junk,junk
0.009005,-5.076E-4,0.001936,4.031E-4,0.001997,2.189E-4,0.001981,1.259E-4,0.006767,5.912E-4,0.002968,1.295E-4,0.003243,-3.844E-5,0.002532,8.567E-5,junk,junk,junk
0.009632,-3.835E-4,0.001773,3.78E-4,0.001991,3.226E-4,0.001824,1.487E-4,0.00538,6.554E-4,0.001972,1.391E-4,0.002594,1.272E-5,0.001675,1.281E-4,junk,junk,junk
0.009401,-3.906E-4,0.001759,4.115E-4,0.002053,2.477E-4,0.001858,1.686E-4,0.006536,7.376E-4,0.002717,1.556E-4,0.003196,1.313E-5,0.002416,8.709E-5,junk,junk,junk
0.01008,-4.826E-4,0.001965,3.89E-4,0.001878,3.365E-4,0.002005,2.101E-4,0.004155,7.774E-4,0.00144,1.08E-4,0.002121,-4.875E-6,0.001345,9.79E-5,junk,junk,junk
0.01526,-5.036E-4,0.003046,6.208E-4,0.003182,6.359E-4,0.002927,4.666E-4,0.006427,8.629E-4,0.00255,2.217E-4,0.003167,9.19E-5,0.002347,1.237E-4,junk,junk,junk
0.007448,-4.608E-4,0.00158,3.255E-4,0.001576,1.716E-4,0.001555,4.058E-5,0.004938,4.769E-4,0.002256,2.158E-5,0.002541,-1.553E-4,0.001707,3.899E-5,junk,junk,junk
0.06827,0.002519,0.01374,0.002811,0.01159,0.002968,0.01044,0.003078,-0.01067,-0.001459,-7.093E-4,-0.002072,0.002051,-6.245E-4,0.001986,6.426E-4,junk,junk,junk
0.06904,0.002357,0.01344,0.0028,0.01129,0.002975,0.01025,0.003116,-0.01204,-0.001483,-0.001836,-0.002101,0.001189,-6.215E-4,0.001252,6.722E-4,junk,junk,junk
0.06967,0.002588,0.01438,0.002939,0.01188,0.003013,0.01073,0.003145,-0.0103,-0.001592,-2.533E-4,-0.002116,0.002262,-6.965E-4,0.002244,6.014E-4,junk,junk,junk
0.06943,0.002509,0.01331,0.002844,0.01116,0.002988,0.01001,0.003107,-0.01237,-0.001661,-0.001975,-0.002196,0.001001,-7.235E-4,0.001098,6.013E-4,junk,junk,junk
0.06971,0.00269,0.0145,0.002942,0.01188,0.002992,0.01058,0.00308,-0.009299,-0.001874,-4.826E-5,-0.002149,0.002366,-8.15E-4,0.002305,5.59E-4,junk,junk,junk
0.06812,0.002516,0.01268,0.002872,0.009814,0.002995,0.009117,0.003062,-0.01372,-0.001796,-0.002515,-0.00223,4.769E-4,-8.685E-4,4.045E-4,5.7E-4,junk,junk,junk
0.07235,0.002484,0.0129,0.003137,0.01077,0.003256,0.0101,0.003142,-0.01402,-0.001787,-0.002218,-0.002064,0.001181,-7.897E-4,6.103E-4,6.606E-4,junk,junk,junk
0.06646,0.002295,0.01318,0.002848,0.009384,0.002926,0.008575,0.00305,-0.01174,-0.002307,-0.00149,-0.002452,8.719E-4,-0.001048,6.298E-4,5.405E-4,junk,junk,junk
0.07626,5.455E-4,0.01622,0.00285,0.01099,0.003319,0.009776,0.003485,-0.01042,-0.002766,-4.251E-4,-0.002876,0.002068,-0.001136,0.001285,9.663E-4,junk,junk,junk
0.07504,3.503E-4,0.01548,0.003,0.01093,0.003559,0.009876,0.00381,-0.01097,-0.003112,-2.939E-4,-0.002794,0.001829,-0.001149,0.001437,9.113E-4,junk,junk,junk
0.06789,0.002088,0.01456,0.00281,0.01089,0.003059,0.009496,0.003251,-0.009146,-0.003151,0.001582,-0.002147,0.003367,-9.893E-4,0.002502,5.691E-4,junk,junk,junk
0.06368,0.002187,0.0124,0.002717,0.008746,0.002821,0.007952,0.003166,-0.01683,-0.002973,-0.001792,-0.002322,2.547E-4,-0.001157,-1.454E-4,4.911E-4,junk,junk,junk
0.06521,0.002794,0.01268,0.002782,0.008965,0.002845,0.008666,0.003365,-0.01823,-0.002891,-0.001867,-0.002191,-2.38E-4,-0.001007,-3.888E-4,6.878E-4,junk,junk,junk
0.07262,0.001176,0.0128,0.002519,0.008407,0.003019,0.007628,0.003387,-0.02116,-0.003521,-0.005261,-0.003039,-0.003455,-0.00173,-0.002795,1.96E-4,junk,junk,junk
0.08695,0.002592,0.01521,0.003013,0.01022,0.003986,0.01049,0.005042,-0.02599,-0.003783,-0.004556,-0.002528,-0.007467,-0.001576,-0.002137,0.001212,junk,junk,junk
0.07263,0.004068,0.01703,0.005323,0.009315,0.003812,0.008735,0.004958,-0.02938,-0.005946,-0.008712,-0.003795,-0.01145,-0.001901,-0.001458,0.001305,junk,junk,junk
0.07121,0.002649,0.01672,0.00479,0.01148,0.003103,0.009247,0.001617,-0.03469,-0.007694,-0.01243,-0.005637,-0.01388,-0.003283,-0.003342,-3.01E-4,junk,junk,junk
0.05358,-6.095E-4,0.01142,0.003055,0.009796,0.002575,0.008974,0.001731,-0.03183,-0.007769,-0.008495,-0.003485,-0.01185,-0.002659,-0.003814,-5.971E-4,junk,junk,junk
0.0218,-7.423E-4,0.004771,8.589E-4,0.004798,6.458E-4,0.004161,4.14E-4,0.006552,-3.208E-4,0.003039,-4.846E-4,0.0016,-9.421E-4,1.587E-4,-4.883E-4,junk,junk,junk
0.01797,-5.034E-4,0.003009,5.109E-4,0.003493,2.504E-4,0.002983,1.09E-4,0.002321,3.388E-5,0.001663,-4.786E-4,0.00261,-9.009E-4,1.39E-4,-6.892E-4,junk,junk,junk
0.008905,-2.71E-4,0.001693,2.131E-4,0.002212,-1.598E-4,0.001892,-2.726E-4,0.004551,-1.73E-4,0.00209,-7.716E-4,0.002564,-9.921E-4,8.387E-4,-7.944E-4,junk,junk,junk
3.134E-5,-3.716E-4,-6.898E-4,-4.311E-4,2.321E-4,-7.504E-4,-3.004E-4,-8.969E-4,0.001428,-2.087E-4,2.363E-4,-0.001035,0.001053,-0.001108,-4.285E-4,-8.8E-4,junk,junk,junk
0.00242,-7.692E-4,3.602E-4,-2.791E-4,9.845E-4,-7.052E-4,4.58E-4,-8.167E-4,0.00427,-9.69E-5,0.001693,-9.608E-4,0.002143,-0.00112,3.429E-4,-8.741E-4,junk,junk,junk
0.01816,-0.001112,0.003164,4.184E-4,0.003287,2.18E-4,0.002994,1.976E-5,1.533E-4,3.34E-5,3.426E-4,-7.697E-4,0.00138,-0.00102,-6.626E-4,-7.044E-4,junk,junk,junk
0.02537,-0.001419,0.005454,8.217E-4,0.005626,6.55E-4,0.004746,4.053E-4,0.0051,3.38E-4,0.002186,-5.542E-4,0.003362,-9.776E-4,2.108E-4,-7.209E-4,junk,junk,junk
0.02545,-0.001213,0.005085,0.001121,0.005432,8.633E-4,0.005067,6.767E-4,0.00466,1.678E-4,0.002752,-3.801E-4,0.003115,-7.793E-4,0.001089,-4.418E-4,junk,junk,junk
0.01436,-7.116E-4,0.003086,4.196E-4,0.003788,1.752E-4,0.003026,-4.567E-5,0.006454,2.794E-4,0.003652,-4.482E-4,0.004281,-8.483E-4,0.002306,-6.573E-4,junk,junk,junk
0.00531,-9.883E-4,5.196E-4,-1.119E-4,0.001495,-5.119E-4,0.001056,-5.93E-4,0.001909,2.464E-4,0.001001,-7.452E-4,0.001777,-8.914E-4,5.952E-4,-6.899E-4,junk,junk,junk
0.006022,-7.41E-4,0.001487,-1.853E-5,0.00217,-3.793E-4,0.001758,-5.328E-4,0.007443,4.572E-4,0.003807,-4.592E-4,0.004176,-7.798E-4,0.002564,-6.066E-4,junk,junk,junk
0.01013,-9.493E-4,0.001538,7.281E-5,0.002585,-2.269E-4,0.001935,-4.009E-4,0.005122,4.808E-4,0.002733,-4.834E-4,0.003641,-7.777E-4,0.001777,-5.592E-4,junk,junk,junk
0.007134,-6.341E-4,0.001824,1.273E-4,0.002722,-3.462E-4,0.002125,-4.553E-4,0.01393,6.923E-4,0.00607,-1.983E-4,0.006656,-7.0E-4,0.004326,-5.105E-4,junk,junk,junk
0.001361,-3.265E-4,4.064E-4,-7.556E-5,0.00145,-4.686E-4,8.47E-4,-7.952E-4,0.01594,5.431E-4,0.006889,-1.34E-4,0.007718,-7.27E-4,0.004927,-5.261E-4,junk,junk,junk
-0.009422,-2.049E-4,-0.002032,-5.825E-4,-4.916E-4,-0.001156,-0.001253,-0.001358,0.01747,6.547E-4,0.007801,-1.059E-4,0.008374,-6.863E-4,0.005551,-5.009E-4,junk,junk,junk
-0.0187,-0.001533,-0.003763,-0.001208,-0.002719,-0.001658,-0.003036,-0.001749,0.01408,5.323E-4,0.005856,-3.037E-4,0.007037,-7.675E-4,0.004447,-5.032E-4,junk,junk,junk
-0.009868,1.065E-4,-0.002506,-9.975E-4,-7.137E-4,-0.001395,-0.001499,-0.001561,0.01424,3.876E-4,0.006436,-8.652E-5,0.007097,-6.285E-4,0.005053,-4.252E-4,junk,junk,junk
-0.003173,8.745E-4,-7.215E-4,-4.042E-4,5.647E-4,-9.233E-4,1.208E-4,-0.001001,0.01133,2.683E-4,0.005862,-5.083E-5,0.006479,-6.478E-4,0.004789,-4.519E-4,junk,junk,junk
-0.007386,0.00119,-0.001667,-5.808E-4,-1.901E-4,-0.001042,-6.096E-4,-0.001192,0.01195,1.159E-4,0.005866,-6.619E-5,0.006476,-6.024E-4,0.00509,-4.384E-4,junk,junk,junk
-0.01445,8.917E-4,-0.003331,-0.001104,-0.001664,-0.001554,-0.002276,-0.001582,0.009293,-1.883E-4,0.004587,-2.711E-4,0.005319,-7.08E-4,0.004461,-4.81E-4,junk,junk,junk
-0.007665,0.001209,-0.001562,-7.113E-4,-3.659E-4,-0.00117,-5.543E-4,-0.001152,0.009315,1.389E-4,0.004651,-2.476E-4,0.00513,-6.54E-4,0.004531,-4.437E-4,junk,junk,junk
-0.007759,0.001782,-0.001793,-7.376E-4,-2.581E-4,-0.00106,-0.001041,-9.604E-4,0.006496,3.37E-4,0.003648,-2.79E-4,0.004306,-7.415E-4,0.003648,-4.778E-4,junk,junk,junk
-0.03822,0.001262,-0.008164,-0.002042,-0.006227,-0.002554,-0.006306,-0.002395,0.005544,2.575E-4,0.002853,-5.538E-4,0.003048,-8.049E-4,0.002911,-6.367E-4,junk,junk,junk
-0.05748,-6.333E-4,-0.01165,-0.003486,-0.009886,-0.004047,-0.009852,-0.003986,0.00176,-2.65E-5,3.319E-4,-0.001,4.167E-4,-9.455E-4,0.001307,-7.785E-4,junk,junk,junk
-0.04649,-8.586E-4,-0.009918,-0.003177,-0.008001,-0.003667,-0.00844,-0.003651,0.005216,2.317E-4,0.001518,-7.676E-4,0.00176,-7.902E-4,0.002336,-5.864E-4,junk,junk,junk
0.003205,3.671E-4,7.111E-4,-3.534E-4,0.001699,-7.504E-4,0.001096,-6.936E-4,0.008232,4.431E-4,0.004204,-1.639E-4,0.004874,-6.459E-4,0.003641,-3.337E-4,junk,junk,junk
0.007167,0.001077,0.00188,-3.13E-5,0.00253,-1.054E-4,0.001882,-1.725E-4,0.01005,6.22E-4,0.005064,-1.144E-5,0.006034,-6.272E-4,0.004187,-2.924E-4,junk,junk,junk
