A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,feedback1,feedback2,condition
-0.02669,-0.00307,-0.006747,-0.001594,-0.004288,-0.001891,-0.005022,-0.00201,0.005021,0.003974,-2.638E-5,-4.939E-4,0.001243,7.236E-5,0.001126,8.147E-6,lessthanfifty,junk,junk,junk
-0.02641,-0.002928,-0.006439,-0.001649,-0.004451,-0.001817,-0.004987,-0.002063,0.005267,0.003845,1.109E-4,-6.594E-4,0.001492,-2.56E-4,0.001141,-2.494E-4,lessthanfifty,junk,junk,junk
-0.02555,-0.002977,-0.006337,-0.001567,-0.004412,-0.001838,-0.005148,-0.00197,0.005023,0.003689,2.325E-4,-7.796E-4,0.001326,-3.882E-4,0.001109,-3.988E-4,lessthanfifty,junk,junk,junk
-0.02649,-0.003105,-0.006804,-0.001717,-0.004448,-0.001888,-0.00519,-0.002109,0.004497,0.00385,6.344E-5,-8.132E-4,0.00109,-3.695E-4,8.877E-4,-4.395E-4,lessthanfifty,junk,junk,junk
-0.03006,-0.003235,-0.00743,-0.001813,-0.005382,-0.002107,-0.006013,-0.002258,0.004561,0.003861,2.36E-4,-7.955E-4,0.00137,-4.179E-4,0.001126,-3.969E-4,lessthanfifty,junk,junk,junk
-0.02972,-0.003364,-0.007659,-0.001854,-0.005225,-0.002064,-0.005966,-0.002223,0.004591,0.003857,2.353E-4,-8.079E-4,0.001323,-3.677E-4,0.001096,-4.173E-4,lessthanfifty,junk,junk,junk
-0.03158,-0.003352,-0.00794,-0.002019,-0.005629,-0.0022,-0.006331,-0.002418,0.004499,0.003627,5.576E-5,-8.345E-4,0.001003,-4.35E-4,8.293E-4,-4.674E-4,lessthanfifty,junk,junk,junk
-0.04081,-0.004228,-0.01035,-0.002427,-0.007866,-0.002751,-0.008526,-0.002897,0.003811,0.003736,6.587E-5,-9.161E-4,0.00102,-5.479E-4,8.606E-4,-5.66E-4,lessthanfifty,junk,junk,junk
-0.04153,-0.004087,-0.01062,-0.002491,-0.00776,-0.0027,-0.008485,-0.002898,0.002894,0.003804,8.304E-5,-0.001008,0.001026,-5.869E-4,7.776E-4,-6.698E-4,lessthanfifty,junk,junk,junk
-0.03321,-0.003515,-0.00828,-0.001958,-0.00617,-0.002185,-0.006642,-0.002379,0.002022,0.003812,-8.764E-5,-9.655E-4,7.345E-4,-6.024E-4,6.019E-4,-5.914E-4,lessthanfifty,junk,junk,junk
-0.03148,-0.003534,-0.008035,-0.001969,-0.005587,-0.002145,-0.006321,-0.002295,0.001783,0.003974,-5.784E-5,-9.835E-4,9.352E-4,-5.776E-4,7.554E-4,-6.506E-4,lessthanfifty,junk,junk,junk
-0.02955,-0.003427,-0.007406,-0.001853,-0.005181,-0.001986,-0.005764,-0.002222,0.001611,0.004009,-5.262E-5,-8.695E-4,0.001016,-4.53E-4,7.776E-4,-4.752E-4,lessthanfifty,junk,junk,junk
-0.0298,-0.003451,-0.007352,-0.00184,-0.00532,-0.002059,-0.006024,-0.002167,0.001379,0.004172,-1.188E-4,-7.158E-4,9.116E-4,-2.476E-4,7.547E-4,-2.323E-4,lessthanfifty,junk,junk,junk
