A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.01548,-8.248E-4,0.006457,3.431E-4,0.004987,6.64E-4,0.004023,8.11E-4,0.00483,-0.00306,0.003013,-0.001348,0.002419,-0.001624,0.001843,-8.815E-4,junk,junk,gaze
0.0166,-8.415E-4,0.006748,3.313E-4,0.005394,6.589E-4,0.004166,8.093E-4,0.005955,-0.002993,0.003371,-0.001298,0.002839,-0.001562,0.002207,-8.517E-4,junk,junk,gaze
0.0165,-8.136E-4,0.007115,3.651E-4,0.005543,6.407E-4,0.004414,8.522E-4,0.005891,-0.002854,0.003498,-0.001283,0.003093,-0.001576,0.002368,-8.494E-4,junk,junk,gaze
0.01531,-7.839E-4,0.006116,2.906E-4,0.004846,6.113E-4,0.003741,7.924E-4,0.005389,-0.002697,0.003168,-0.001271,0.002602,-0.001556,0.001963,-8.173E-4,junk,junk,gaze
0.01603,-8.306E-4,0.006384,3.206E-4,0.005124,6.144E-4,0.003937,8.364E-4,0.005563,-0.002416,0.003467,-0.001221,0.00296,-0.001518,0.002257,-7.929E-4,junk,junk,gaze
0.01598,-8.019E-4,0.006749,3.283E-4,0.005258,6.263E-4,0.004198,7.78E-4,0.00529,-0.002358,0.003434,-0.001225,0.002818,-0.001509,0.00215,-7.757E-4,junk,junk,gaze
0.01485,-8.398E-4,0.005692,2.44E-4,0.004507,6.067E-4,0.003465,7.857E-4,0.005422,-0.002255,0.003327,-0.001187,0.002687,-0.001475,0.002007,-7.287E-4,junk,junk,gaze
0.01536,-8.325E-4,0.006299,2.822E-4,0.004856,5.816E-4,0.003772,8.167E-4,0.005291,-0.002271,0.00348,-0.001176,0.002861,-0.001473,0.002197,-7.451E-4,junk,junk,gaze
0.01559,-8.809E-4,0.006464,2.727E-4,0.005092,6.064E-4,0.003897,7.687E-4,0.004713,-0.002237,0.003193,-0.001162,0.002536,-0.001457,0.001832,-7.229E-4,junk,junk,gaze
0.01492,-9.68E-4,0.005551,2.221E-4,0.004398,5.647E-4,0.003375,7.741E-4,0.004236,-0.002176,0.003382,-0.00112,0.002679,-0.001411,0.002022,-7.028E-4,junk,junk,gaze
