A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.002155,8.361E-4,6.857E-4,2.697E-4,1.085E-4,7.665E-5,-5.893E-4,-2.342E-4,0.007739,0.007,0.002363,9.554E-4,0.002221,0.001215,0.002009,0.001034,junk,junk,junk
0.001329,7.816E-4,-2.957E-4,2.392E-4,-6.019E-4,1.001E-4,-8.772E-4,-2.179E-4,0.005795,0.006886,0.002938,8.568E-4,0.002597,7.53E-4,0.002555,9.276E-4,junk,junk,junk
0.001862,7.414E-4,3.051E-5,2.76E-4,-2.813E-4,8.212E-5,-8.545E-4,-2.023E-4,0.005201,0.007769,0.002237,9.073E-4,0.002465,0.00103,0.001864,0.001046,junk,junk,junk
0.002066,7.514E-4,5.7E-4,2.745E-4,4.073E-5,8.467E-5,-5.08E-4,-2.041E-4,0.004915,0.00613,0.002673,8.572E-4,0.002139,8.749E-4,0.002497,9.644E-4,junk,junk,junk
0.001362,6.718E-4,-4.578E-4,2.062E-4,-6.169E-4,9.11E-5,-9.186E-4,-1.814E-4,0.005276,0.007661,0.002204,9.876E-4,0.002297,0.001047,0.00291,7.561E-4,junk,junk,junk
0.002082,7.221E-4,5.405E-4,2.611E-4,-1.12E-5,1.31E-4,-5.602E-4,-2.082E-4,0.007324,0.006456,0.002697,7.22E-4,0.002406,9.051E-4,0.002403,8.775E-4,junk,junk,junk
0.002036,6.105E-4,3.109E-4,2.508E-4,-1.323E-4,8.027E-5,-5.961E-4,-1.975E-4,0.005613,0.006731,0.002964,9.976E-4,0.0025,8.582E-4,0.00248,9.882E-4,junk,junk,junk
0.001477,6.772E-4,-2.315E-4,2.379E-4,-4.341E-4,8.816E-5,-8.265E-4,-2.299E-4,0.007801,0.007323,0.002634,8.947E-4,0.003054,9.08E-4,0.002556,8.249E-4,junk,junk,junk
0.002627,7.272E-4,0.001204,2.519E-4,4.934E-4,9.035E-5,-2.412E-4,-2.117E-4,0.007076,0.007139,0.002132,0.00115,0.002213,0.001042,0.002528,9.653E-4,junk,junk,junk
0.002584,6.679E-4,4.937E-4,2.517E-4,5.263E-5,1.126E-4,-3.879E-4,-1.682E-4,0.006937,0.007506,0.003004,9.005E-4,0.002482,9.943E-4,0.002852,9.247E-4,junk,junk,junk
0.003216,6.694E-4,7.547E-4,2.645E-4,3.604E-4,1.852E-4,-7.515E-5,-1.109E-4,0.006357,0.006738,0.002495,8.876E-4,0.002894,9.76E-4,0.002872,7.398E-4,junk,junk,junk
0.00484,5.717E-4,0.001818,3.159E-4,0.001152,2.084E-4,6.163E-4,-5.541E-5,0.007418,0.007404,0.002567,0.001195,0.002686,8.255E-4,0.002615,0.001122,junk,junk,junk
0.004639,5.074E-4,8.535E-4,2.712E-4,5.937E-4,2.279E-4,3.06E-4,-1.959E-5,0.007708,0.007,0.002546,9.475E-4,0.002544,9.636E-4,0.002711,9.441E-4,junk,junk,junk
0.004174,2.129E-4,9.144E-4,8.697E-5,7.246E-4,1.287E-4,4.795E-4,3.3E-5,0.008866,0.006714,0.002571,9.767E-4,0.002261,0.001095,0.002365,0.001111,junk,junk,junk
0.00523,-7.037E-5,0.001552,1.201E-4,0.001312,1.655E-4,0.001107,1.05E-4,0.007025,0.007128,0.00291,8.435E-4,0.002626,9.275E-4,0.003069,8.621E-4,junk,junk,junk
0.005063,-3.319E-5,8.262E-4,1.86E-4,7.907E-4,2.289E-4,3.637E-4,-3.734E-5,0.007505,0.007753,0.002329,0.001011,0.002841,0.001,0.002442,9.112E-4,junk,junk,junk
0.005472,2.619E-4,0.002066,3.108E-4,0.001405,2.561E-4,7.56E-4,-8.826E-5,0.006064,0.007564,0.002685,0.00103,0.002528,9.83E-4,0.002298,0.001215,junk,junk,junk
0.00513,1.138E-4,0.001285,7.301E-5,0.001181,1.005E-4,6.249E-4,-7.444E-6,0.005945,0.007851,0.002363,0.001127,0.002273,0.0011,0.002927,8.712E-4,junk,junk,junk
0.003844,4.25E-6,-2.705E-4,-6.461E-5,3.104E-4,1.183E-4,6.675E-4,1.417E-4,0.007819,0.00705,0.002754,9.596E-4,0.002632,0.001003,0.002256,0.001087,junk,junk,junk
0.004561,-1.578E-5,9.201E-4,-7.455E-5,0.001157,4.681E-5,0.001157,1.703E-4,0.005079,0.007767,0.002524,0.001106,0.002425,9.06E-4,0.002715,9.368E-4,junk,junk,junk
0.003572,-1.532E-4,-6.087E-5,-1.896E-4,7.076E-4,-2.699E-5,7.67E-4,9.62E-5,0.007317,0.007096,0.002397,9.722E-4,0.002664,0.001044,0.00228,0.001033,junk,junk,junk
0.001639,-2.155E-4,-0.001082,-2.295E-4,-2.132E-4,-6.321E-5,4.432E-4,9.243E-5,0.005812,0.00743,0.002762,0.001049,0.002673,9.654E-4,0.002792,8.229E-4,junk,junk,junk
0.002896,-2.563E-4,3.859E-5,-2.05E-4,6.5E-4,-9.369E-5,8.721E-4,1.054E-4,0.008349,0.00664,0.002408,0.001042,0.002526,9.755E-4,0.002562,8.792E-4,junk,junk,junk
0.001708,-2.519E-4,-7.549E-4,-3.273E-4,8.239E-5,-1.274E-4,5.214E-4,7.317E-5,0.008538,0.007102,0.002454,0.001137,0.002868,8.724E-4,0.003015,8.771E-4,junk,junk,junk
5.314E-4,-2.429E-4,-0.001275,-2.823E-4,-4.463E-4,-1.571E-4,1.614E-4,2.966E-5,0.006543,0.006763,0.002551,9.177E-4,0.002396,9.928E-4,0.002375,0.001073,junk,junk,junk
0.001582,-1.905E-4,-2.116E-4,-2.987E-4,4.254E-4,-1.666E-4,5.293E-4,-1.537E-5,0.006943,0.007432,0.002994,7.642E-4,0.003305,9.402E-4,0.002951,8.232E-4,junk,junk,junk
5.804E-4,-2.197E-4,-0.001114,-3.169E-4,-2.36E-4,-1.86E-4,2.169E-4,-2.133E-7,0.007254,0.007307,0.002737,0.001138,0.002458,0.001044,0.00241,0.001166,junk,junk,junk
1.872E-4,-1.51E-4,-0.001291,-2.566E-4,-4.632E-4,-1.629E-4,4.676E-5,-8.178E-6,0.007516,0.007925,0.002964,9.059E-4,0.002613,0.001171,0.002764,9.441E-4,junk,junk,junk
9.523E-4,-1.471E-4,-5.067E-4,-3.047E-4,1.211E-4,-1.826E-4,3.174E-4,-3.579E-5,0.005177,0.008881,0.002803,0.001099,0.002985,9.694E-4,0.002828,8.588E-4,junk,junk,junk
-4.238E-4,-1.582E-4,-0.001754,-3.338E-4,-7.431E-4,-2.057E-4,-1.476E-4,-2.541E-5,0.006374,0.007422,0.003012,9.159E-4,0.002584,9.227E-4,0.002819,0.001083,junk,junk,junk
-4.349E-4,-6.857E-5,-0.001523,-2.943E-4,-7.229E-4,-1.688E-4,-2.734E-4,-1.903E-5,0.007426,0.008074,0.002571,0.001093,0.002752,0.001201,0.002789,7.934E-4,junk,junk,junk
-1.001E-4,-4.317E-5,-0.001135,-2.717E-4,-4.12E-4,-1.945E-4,2.237E-6,-2.922E-5,0.006791,0.006799,0.00267,0.001098,0.002309,0.001147,0.002156,0.001181,junk,junk,junk
-0.001211,-6.837E-5,-0.002338,-2.883E-4,-0.001277,-1.742E-4,-5.788E-4,-2.9E-5,0.008665,0.0072,0.00246,0.001181,0.002814,0.001067,0.00319,7.28E-4,junk,junk,junk
-5.934E-5,1.162E-4,-8.963E-4,-2.327E-4,-4.49E-4,-1.63E-4,-8.008E-5,-1.221E-5,0.007522,0.007042,0.002654,0.001062,0.002444,0.001027,0.002541,9.238E-4,junk,junk,junk
1.224E-4,1.387E-4,-0.001244,-2.495E-4,-5.945E-4,-1.689E-4,-9.927E-5,1.313E-6,0.006842,0.007472,0.002715,0.001096,0.002586,8.769E-4,0.003009,9.656E-4,junk,junk,junk
2.373E-4,1.945E-4,-0.001977,-1.636E-4,-0.001023,-4.896E-5,-3.398E-4,5.563E-5,0.006393,0.008598,0.00276,8.921E-4,0.002634,0.001124,0.002884,9.573E-4,junk,junk,junk
