A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
0.001316,-4.462E-4,2.476E-4,-3.911E-4,0.001028,-1.975E-4,8.885E-4,-3.743E-4,0.001945,1.365E-4,0.001981,9.185E-5,1.936E-6,9.787E-5,8.868E-4,-1.866E-4,junk,hard
0.001691,-3.521E-4,2.748E-4,-3.952E-4,0.001144,-1.742E-4,8.715E-4,-3.612E-4,0.002353,2.4E-4,0.002027,1.077E-4,1.478E-4,1.044E-4,9.583E-4,-1.823E-4,junk,hard
9.655E-4,-3.084E-4,2.434E-4,-3.456E-4,9.565E-4,-1.789E-4,7.797E-4,-3.32E-4,0.002032,2.524E-4,0.001956,9.988E-5,8.952E-5,1.02E-4,9.983E-4,-1.79E-4,junk,hard
8.66E-4,-2.333E-4,1.839E-4,-3.541E-4,9.767E-4,-1.511E-4,6.904E-4,-3.184E-4,0.002431,2.956E-4,0.001921,1.102E-4,1.124E-4,1.09E-4,9.798E-4,-1.491E-4,junk,hard
3.922E-4,-1.993E-4,-7.258E-6,-3.4E-4,8.446E-4,-1.528E-4,6.003E-4,-3.186E-4,0.002072,2.987E-4,0.001841,1.078E-4,8.612E-5,1.109E-4,9.48E-4,-1.656E-4,junk,hard
-0.001808,-3.923E-5,-2.384E-4,-3.398E-4,3.983E-4,-1.976E-4,2.967E-4,-3.436E-4,0.001645,3.697E-4,0.001723,1.334E-4,-1.889E-4,1.274E-4,7.429E-4,-1.599E-4,junk,hard
-0.004181,7.93E-5,-6.114E-4,-3.895E-4,1.122E-4,-2.81E-4,-1.164E-4,-4.27E-4,0.001735,3.71E-4,0.001729,1.387E-4,5.429E-5,1.206E-4,8.088E-4,-1.677E-4,junk,hard
-0.005425,8.652E-5,-8.268E-4,-3.662E-4,-2.663E-4,-3.287E-4,-3.993E-4,-4.278E-4,0.00132,4.641E-4,0.001606,1.554E-4,-2.804E-4,1.386E-4,6.619E-4,-1.528E-4,junk,hard
-0.005498,2.068E-4,-7.641E-4,-3.828E-4,-1.31E-4,-2.966E-4,-2.714E-4,-4.468E-4,0.001776,4.322E-4,0.001719,1.672E-4,4.323E-6,1.352E-4,7.723E-4,-1.371E-4,junk,hard
-0.005364,6.84E-5,-8.862E-4,-3.619E-4,-2.835E-4,-2.866E-4,-4.878E-4,-4.17E-4,0.00116,5.005E-4,0.001484,1.604E-4,-2.356E-4,1.47E-4,5.836E-4,-1.501E-4,junk,hard
-0.006065,1.547E-4,-8.109E-4,-3.544E-4,-3.29E-4,-3.022E-4,-4.334E-4,-4.062E-4,0.001371,4.923E-4,0.001551,1.814E-4,-2.444E-4,1.547E-4,6.023E-4,-1.262E-4,junk,hard
-0.005319,1.03E-4,-8.973E-4,-3.425E-4,-3.084E-4,-2.46E-4,-4.813E-4,-4.197E-4,0.001293,4.534E-4,0.001453,1.708E-4,-2.105E-4,1.59E-4,5.317E-4,-1.445E-4,junk,hard
-0.006506,1.126E-4,-0.00112,-3.705E-4,-6.0E-4,-3.18E-4,-7.63E-4,-4.103E-4,6.549E-4,5.32E-4,0.001263,1.962E-4,-6.591E-4,1.935E-4,2.293E-4,-1.366E-4,junk,hard
-0.006805,1.856E-4,-9.89E-4,-3.774E-4,-5.335E-4,-3.001E-4,-6.505E-4,-4.426E-4,8.341E-4,5.003E-4,0.001333,1.998E-4,-4.109E-4,1.782E-4,3.181E-4,-1.503E-4,junk,hard
-0.006651,1.253E-4,-0.001183,-3.516E-4,-7.03E-4,-3.037E-4,-9.202E-4,-4.264E-4,5.059E-4,5.128E-4,0.001079,1.919E-4,-7.818E-4,1.947E-4,2.53E-5,-1.548E-4,junk,hard
-0.007114,1.73E-4,-0.001052,-3.581E-4,-6.986E-4,-3.18E-4,-7.636E-4,-4.255E-4,6.874E-4,4.757E-4,0.001214,2.033E-4,-6.848E-4,1.91E-4,1.644E-4,-1.661E-4,junk,hard
-0.006655,1.191E-4,-0.001156,-3.517E-4,-7.531E-4,-2.94E-4,-8.786E-4,-4.596E-4,6.162E-4,5.429E-4,0.001082,1.964E-4,-7.53E-4,1.819E-4,-1.924E-5,-1.84E-4,junk,hard
-0.006683,1.089E-4,-0.001083,-3.372E-4,-7.184E-4,-3.324E-4,-8.686E-4,-4.447E-4,7.16E-4,5.719E-4,0.001149,2.03E-4,-8.217E-4,1.963E-4,1.347E-6,-1.964E-4,junk,hard
-0.007059,1.826E-4,-0.001063,-3.466E-4,-8.015E-4,-2.937E-4,-8.412E-4,-4.534E-4,6.298E-4,5.541E-4,0.001118,1.954E-4,-7.621E-4,1.78E-4,-1.759E-5,-2.06E-4,junk,hard
-0.006505,1.235E-4,-0.001154,-3.332E-4,-7.615E-4,-3.112E-4,-9.569E-4,-4.595E-4,6.948E-4,6.092E-4,0.001021,1.991E-4,-9.549E-4,1.927E-4,-1.666E-4,-2.169E-4,junk,hard
