Uk1,YAxis,Uk2,PRbpm,SpO2,Time
148,80,10,62,97,2014-06-27 16:10:46.280351
148,78,9,62,97,2014-06-27 16:10:46.297015
213,75,9,62,97,2014-06-27 16:10:46.313591
213,56,7,62,97,2014-06-27 16:10:46.330326
149,53,6,62,97,2014-06-27 16:10:46.347066
149,51,6,62,97,2014-06-27 16:10:46.363754
149,49,6,62,97,2014-06-27 16:10:46.380195
149,47,5,62,97,2014-06-27 16:10:46.397043
149,45,5,62,97,2014-06-27 16:10:46.413822
149,44,5,62,97,2014-06-27 16:10:46.430498
149,42,5,62,97,2014-06-27 16:10:46.447323
149,41,5,62,97,2014-06-27 16:10:46.463666
149,40,5,62,97,2014-06-27 16:10:46.480473
149,40,5,62,97,2014-06-27 16:10:46.497298
149,39,4,62,97,2014-06-27 16:10:46.514145
149,39,4,62,97,2014-06-27 16:10:46.530622
149,40,5,62,97,2014-06-27 16:10:46.547472
149,40,5,62,97,2014-06-27 16:10:46.564072
149,40,5,62,97,2014-06-27 16:10:46.580894
149,40,5,62,97,2014-06-27 16:10:46.597705
149,41,5,62,97,2014-06-27 16:10:46.614082
149,43,5,62,97,2014-06-27 16:10:46.630926
149,44,5,62,97,2014-06-27 16:10:46.647615
149,46,5,62,97,2014-06-27 16:10:46.664300
149,49,6,62,97,2014-06-27 16:10:46.680993
149,51,6,62,97,2014-06-27 16:10:46.697678
149,52,6,62,97,2014-06-27 16:10:46.714528
149,53,6,62,97,2014-06-27 16:10:46.730925
149,52,6,62,97,2014-06-27 16:10:46.747964
149,51,6,62,97,2014-06-27 16:10:46.764397
149,48,6,62,97,2014-06-27 16:10:46.781217
149,44,5,62,97,2014-06-27 16:10:46.797916
149,40,5,62,97,2014-06-27 16:10:46.814511
149,35,4,62,97,2014-06-27 16:10:46.831347
149,30,3,62,97,2014-06-27 16:10:46.847942
149,25,3,62,97,2014-06-27 16:10:46.864730
149,20,2,62,97,2014-06-27 16:10:46.881224
149,15,1,62,97,2014-06-27 16:10:46.898057
149,11,1,62,97,2014-06-27 16:10:46.914712
149,7,0,62,97,2014-06-27 16:10:46.931539
149,4,0,62,97,2014-06-27 16:10:46.948553
