Subject:	S202
Project:	glassroutes
Time:	2015-01-19_15-28-37

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
17473	57286.953	3532.286	h;87.8;12.2	h	87.8	12.2	
17479	57287.488	3532.767	e;8.6;91.4	e	8.6	91.4	
17485	57287.987	3533.313	e;0.0;100.0	e	0.0	100.0	
17491	57288.483	3533.797	h;99.3;0.7	h	99.3	0.7	
17498	57289.085	3534.363	h;99.3;0.7	h	99.3	0.7	
17503	57289.494	3534.826	h;100.0;0.0	h	100.0	0.0	
17509	57289.999	3535.309	e;33.6;66.4	e	33.6	66.4	
17515	57290.515	3535.834	h;100.0;0.0	h	100.0	0.0	
17521	57291.038	3536.338	e;0.0;100.0	e	0.0	100.0	
17527	57291.499	3536.864	h;100.0;0.0	h	100.0	0.0	
17534	57292.159	3537.430	h;100.0;0.0	h	100.0	0.0	
17539	57292.522	3537.851	h;56.3;43.7	h	56.3	43.7	
17545	57293.004	3538.377	h;56.8;43.2	h	56.8	43.2	
17551	57293.521	3538.859	h;55.9;44.1	h	55.9	44.1	
17557	57294.049	3539.405	h;99.9;0.1	h	99.9	0.1	
17564	57294.672	3539.972	h;99.8;0.2	h	99.8	0.2	
17569	57295.150	3540.392	e;0.0;100.0	e	0.0	100.0	
17575	57295.611	3540.918	h;99.5;0.5	h	99.5	0.5	
17581	57296.048	3541.400	e;21.1;78.9	e	21.1	78.9	
17587	57296.677	3541.947	e;0.0;100.0	e	0.0	100.0	
17593	57297.125	3542.430	e;0.0;100.0	e	0.0	100.0	
17600	57297.775	3543.039	e;0.0;100.0	e	0.0	100.0	
17605	57298.147	3543.459	h;62.7;37.3	h	62.7	37.3	
17611	57298.674	3543.943	h;100.0;0.0	h	100.0	0.0	
17617	57299.157	3544.488	h;99.8;0.2	h	99.8	0.2	
17623	57299.600	3544.972	h;99.8;0.2	h	99.8	0.2	
17629	57300.229	3545.519	h;54.9;45.1	h	54.9	45.1	
17635	57300.668	3546.001	h;56.1;43.9	h	56.1	43.9	
17641	57301.162	3546.526	h;56.1;43.9	h	56.1	43.9	
17647	57301.690	3547.031	h;57.2;42.8	h	57.2	42.8	
17653	57302.210	3547.513	h;97.4;2.6	h	97.4	2.6	
17659	57302.734	3548.060	e;11.0;89.0	e	11.0	89.0	
17665	57303.220	3548.544	h;61.6;38.4	h	61.6	38.4	
17671	57303.774	3549.068	e;0.0;100.0	e	0.0	100.0	
17677	57304.224	3549.573	h;100.0;0.0	h	100.0	0.0	
17683	57304.802	3550.097	h;73.6;26.4	h	73.6	26.4	
17690	57305.393	3550.663	h;56.0;44.0	h	56.0	44.0	
17695	57305.713	3551.084	h;53.4;46.6	h	53.4	46.6	
17701	57306.232	3551.609	e;0.0;100.0	e	0.0	100.0	
17708	57306.921	3552.197	h;92.8;7.2	h	92.8	7.2	
17713	57307.337	3552.638	h;100.0;0.0	h	100.0	0.0	
17719	57307.816	3553.143	h;91.4;8.6	h	91.4	8.6	
17725	57308.327	3553.625	h;69.1;30.9	h	69.1	30.9	
17731	57308.817	3554.151	h;100.0;0.0	h	100.0	0.0	
17737	57309.339	3554.633	h;100.0;0.0	h	100.0	0.0	
17743	57309.872	3555.180	e;1.1;98.9	e	1.1	98.9	
17749	57310.290	3555.663	e;0.0;100.0	e	0.0	100.0	
17755	57310.917	3556.209	h;54.7;45.3	h	54.7	45.3	
17761	57311.318	3556.692	e;0.0;100.0	e	0.0	100.0	
17767	57311.829	3557.176	e;0.9;99.1	e	0.9	99.1	
17773	57312.355	3557.721	e;0.0;100.0	e	0.0	100.0	
17780	57313.007	3558.289	e;0.0;100.0	e	0.0	100.0	
17785	57313.460	3558.751	h;81.4;18.6	h	81.4	18.6	
17791	57313.885	3559.234	e;19.8;80.2	e	19.8	80.2	
17798	57314.523	3559.843	h;100.0;0.0	h	100.0	0.0	
17803	57314.995	3560.264	e;2.0;98.0	e	2.0	98.0	
17809	57315.478	3560.746	e;0.0;100.0	e	0.0	100.0	
17815	57316.001	3561.293	h;52.3;47.7	h	52.3	47.7	
17822	57316.603	3561.861	e;0.0;100.0	e	0.0	100.0	
17827	57316.925	3562.301	h;64.3;35.7	h	64.3	35.7	
17833	57317.500	3562.805	h;68.6;31.4	h	68.6	31.4	
17839	57317.993	3563.289	e;16.8;83.2	e	16.8	83.2	
17846	57318.592	3563.897	e;0.7;99.3	e	0.7	99.3	
17851	57318.998	3564.318	e;0.3;99.7	e	0.3	99.7	
17858	57319.620	3564.926	h;52.7;47.3	h	52.7	47.3	
17863	57319.950	3565.326	h;100.0;0.0	h	100.0	0.0	
17869	57320.562	3565.872	h;62.9;37.1	h	62.9	37.1	
17875	57321.034	3566.376	h;57.8;42.2	h	57.8	42.2	
17881	57321.583	3566.859	h;62.9;37.1	h	62.9	37.1	
17887	57322.050	3567.384	h;52.4;47.6	h	52.4	47.6	
17894	57322.665	3567.971	h;87.5;12.5	h	87.5	12.5	
17900	57323.190	3568.497	e;36.2;63.8	e	36.2	63.8	
17905	57323.601	3568.917	e;0.0;100.0	e	0.0	100.0	
17911	57324.115	3569.442	e;11.6;88.4	e	11.6	88.4	
17917	57324.615	3569.925	h;56.8;43.2	h	56.8	43.2	
17923	57325.031	3570.409	h;56.1;43.9	h	56.1	43.9	
17929	57325.649	3570.954	h;56.8;43.2	h	56.8	43.2	
17936	57326.252	3571.522	h;53.6;46.4	h	53.6	46.4	
17941	57326.725	3571.984	h;57.7;42.3	h	57.7	42.3	
17947	57327.085	3572.467	h;99.9;0.1	h	99.9	0.1	
17954	57327.753	3573.076	h;64.0;36.0	h	64.0	36.0	
17959	57328.238	3573.497	e;2.4;97.6	e	2.4	97.6	
17965	57328.598	3573.979	e;0.0;100.0	e	0.0	100.0	
17971	57329.231	3574.526	h;54.3;45.7	h	54.3	45.7	
17977	57329.631	3575.009	h;56.7;43.3	h	56.7	43.3	
